"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 00:21:09 GMT 2024","Fri Jan 26 00:21:09 GMT 2024","232","Test Cycle 2 - Login","TestCase 8 - Excess Data in Request Body","","","","Login",""
"passed","Fri Jan 26 00:21:09 GMT 2024","Fri Jan 26 00:21:09 GMT 2024","350","Test Cycle 2 - Login","Test Case 7 - Invalid Password","","","","Login",""
"failed","Fri Jan 26 00:21:10 GMT 2024","Fri Jan 26 00:21:11 GMT 2024","152","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Fri Jan 26 00:21:10 GMT 2024","Fri Jan 26 00:21:10 GMT 2024","238","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Login",""
"passed","Fri Jan 26 00:21:08 GMT 2024","Fri Jan 26 00:21:08 GMT 2024","240","Test Cycle 2 - Login","Test Case 1 - Valid Login Details","","","","Login",""
"failed","Fri Jan 26 00:21:06 GMT 2024","Fri Jan 26 00:21:06 GMT 2024","246","Test Cycle 1 - Registration","TestCase_3_MissingUsername Copy","","","","Register User",""
"passed","Fri Jan 26 00:21:08 GMT 2024","Fri Jan 26 00:21:08 GMT 2024","283","Test Cycle 2 - Login","Test Case 3 - Missing Password","","","","Login",""
"passed","Fri Jan 26 00:21:10 GMT 2024","Fri Jan 26 00:21:10 GMT 2024","142","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Logout",""
"passed","Fri Jan 26 00:21:06 GMT 2024","Fri Jan 26 00:21:08 GMT 2024","1265","Test Cycle 1 - Registration","TestCase_4_ExcessDataInRequestBody Copy","","","","Register User",""
"passed","Fri Jan 26 00:21:09 GMT 2024","Fri Jan 26 00:21:09 GMT 2024","143","Test Cycle 2 - Login","Test Case 6 - Invalid Username","","","","Login",""
"passed","Fri Jan 26 00:21:09 GMT 2024","Fri Jan 26 00:21:10 GMT 2024","265","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","Login",""
"passed","Fri Jan 26 00:21:10 GMT 2024","Fri Jan 26 00:21:10 GMT 2024","147","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Fri Jan 26 00:21:10 GMT 2024","Fri Jan 26 00:21:10 GMT 2024","144","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","User Profile",""
"passed","Fri Jan 26 00:21:08 GMT 2024","Fri Jan 26 00:21:08 GMT 2024","135","Test Cycle 2 - Login","Test Case 4 - Empty Username","","","","Login",""
"passed","Fri Jan 26 00:21:06 GMT 2024","Fri Jan 26 00:21:06 GMT 2024","338","Test Cycle 1 - Registration","TestCase_2_InvalidVerificationToken Copy","","","","Verify",""
"passed","Fri Jan 26 00:21:08 GMT 2024","Fri Jan 26 00:21:08 GMT 2024","139","Test Cycle 2 - Login","Test Case 2 - Missing Username","","","","Login",""
"passed","Fri Jan 26 00:21:08 GMT 2024","Fri Jan 26 00:21:09 GMT 2024","347","Test Cycle 2 - Login","Test Case 5 - Empty Password","","","","Login",""
