"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 26 18:57:12 GMT 2024","Fri Jan 26 18:57:12 GMT 2024","211","Test Cycle 1 - Registration","Test Case 35 - Request Without Username","","","","Register User",""
"passed","Fri Jan 26 18:57:17 GMT 2024","Fri Jan 26 18:57:17 GMT 2024","115","Test Cycle 2 - Login","Test Case 2 - Missing Username","","","","Login",""
"passed","Fri Jan 26 18:57:10 GMT 2024","Fri Jan 26 18:57:11 GMT 2024","231","Test Cycle 1 - Registration","Test Case 30 - No Country Code in Phone Number","","","","Register User",""
"passed","Fri Jan 26 18:57:11 GMT 2024","Fri Jan 26 18:57:11 GMT 2024","205","Test Cycle 1 - Registration","Test Case 31 - Non-numerical Phone Number","","","","Register User",""
"passed","Fri Jan 26 18:57:00 GMT 2024","Fri Jan 26 18:57:00 GMT 2024","113","Test Cycle 1 - Registration","Test Case 10 - Empty Phone Number","","","","Register User",""
"passed","Fri Jan 26 18:57:11 GMT 2024","Fri Jan 26 18:57:11 GMT 2024","211","Test Cycle 1 - Registration","Test Case 32 - Existing Username","","","","Register User",""
"failed","Fri Jan 26 18:57:15 GMT 2024","Fri Jan 26 18:57:16 GMT 2024","216","Test Cycle 1 - Registration","Test Case 40 - Request Without Email Address","","","","Register User",""
"failed","Fri Jan 26 18:57:15 GMT 2024","Fri Jan 26 18:57:15 GMT 2024","125","Test Cycle 1 - Registration","Test Case 39 - Request Without Password","","","","Register User",""
"passed","Fri Jan 26 18:57:18 GMT 2024","Fri Jan 26 18:57:18 GMT 2024","324","Test Cycle 2 - Login","Test Case 5 - Empty Password","","","","Login",""
"passed","Fri Jan 26 18:57:06 GMT 2024","Fri Jan 26 18:57:06 GMT 2024","219","Test Cycle 1 - Registration","Test Case 22 - No Uppercase Password","","","","Register User",""
"failed","Fri Jan 26 18:57:02 GMT 2024","Fri Jan 26 18:57:02 GMT 2024","112","Test Cycle 1 - Registration","Test Case 15 - Only Whitespace Username","","","","Register User",""
"failed","Fri Jan 26 18:57:09 GMT 2024","Fri Jan 26 18:57:10 GMT 2024","1461","Test Cycle 1 - Registration","Test Case 27 - Only Whitespace Last Name","","","","Register User",""
"failed","Fri Jan 26 18:57:17 GMT 2024","Fri Jan 26 18:57:17 GMT 2024","110","Test Cycle 1 - Registration","Test Case 42 - Too Long String Length","","","","Register User",""
