"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 00:16:11 GMT 2024","Fri Jan 26 00:16:11 GMT 2024","320","Test Cycle 2 - Login","Test Case 3 - Missing Password","","","","Login",""
"passed","Fri Jan 26 00:16:13 GMT 2024","Fri Jan 26 00:16:13 GMT 2024","268","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","Login",""
"passed","Fri Jan 26 00:16:13 GMT 2024","Fri Jan 26 00:16:13 GMT 2024","269","Test Cycle 2 - Login","TestCase 8 - Excess Data in Request Body","","","","Login",""
"passed","Fri Jan 26 00:16:11 GMT 2024","Fri Jan 26 00:16:12 GMT 2024","168","Test Cycle 2 - Login","Test Case 4 - Empty Username","","","","Login",""
"failed","Fri Jan 26 00:16:09 GMT 2024","Fri Jan 26 00:16:09 GMT 2024","322","Test Cycle 1 - Registration","TestCase_3_MissingUsername Copy","","","","Register User",""
"passed","Fri Jan 26 00:16:12 GMT 2024","Fri Jan 26 00:16:13 GMT 2024","440","Test Cycle 2 - Login","Test Case 7 - Invalid Password","","","","Login",""
"passed","Fri Jan 26 00:16:12 GMT 2024","Fri Jan 26 00:16:12 GMT 2024","167","Test Cycle 2 - Login","Test Case 6 - Invalid Username","","","","Login",""
"passed","Fri Jan 26 00:16:12 GMT 2024","Fri Jan 26 00:16:12 GMT 2024","423","Test Cycle 2 - Login","Test Case 5 - Empty Password","","","","Login",""
"passed","Fri Jan 26 00:16:14 GMT 2024","Fri Jan 26 00:16:14 GMT 2024","190","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Fri Jan 26 00:16:09 GMT 2024","Fri Jan 26 00:16:09 GMT 2024","426","Test Cycle 1 - Registration","TestCase_2_InvalidVerificationToken Copy","","","","Verify",""
"passed","Fri Jan 26 00:16:09 GMT 2024","Fri Jan 26 00:16:11 GMT 2024","1202","Test Cycle 1 - Registration","TestCase_4_ExcessDataInRequestBody Copy","","","","Register User",""
"passed","Fri Jan 26 00:16:13 GMT 2024","Fri Jan 26 00:16:13 GMT 2024","177","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","User Profile",""
"passed","Fri Jan 26 00:16:13 GMT 2024","Fri Jan 26 00:16:14 GMT 2024","276","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Login",""
"failed","Fri Jan 26 00:16:14 GMT 2024","Fri Jan 26 00:16:14 GMT 2024","183","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Fri Jan 26 00:16:11 GMT 2024","Fri Jan 26 00:16:11 GMT 2024","274","Test Cycle 2 - Login","Test Case 1 - Valid Login Details","","","","Login",""
"passed","Fri Jan 26 00:16:14 GMT 2024","Fri Jan 26 00:16:14 GMT 2024","174","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Logout",""
"passed","Fri Jan 26 00:16:11 GMT 2024","Fri Jan 26 00:16:11 GMT 2024","170","Test Cycle 2 - Login","Test Case 2 - Missing Username","","","","Login",""
