"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 19:01:04 GMT 2024","Fri Jan 26 19:01:04 GMT 2024","207","Test Cycle 1 - Registration","Test Case 30 - No Country Code in Phone Number","","","","Register User",""
"failed","Fri Jan 26 19:01:01 GMT 2024","Fri Jan 26 19:01:02 GMT 2024","238","Test Cycle 1 - Registration","Test Case 26 - Too Long Last Name","","","","Register User",""
"passed","Fri Jan 26 19:01:03 GMT 2024","Fri Jan 26 19:01:03 GMT 2024","116","Test Cycle 1 - Registration","Test Case 28 - Too Short Phone Number","","","","Register User",""
"passed","Fri Jan 26 19:01:11 GMT 2024","Fri Jan 26 19:01:12 GMT 2024","224","Test Cycle 2 - Login","TestCase 8 - Excess Data in Request Body","","","","Login",""
"failed","Fri Jan 26 19:01:13 GMT 2024","Fri Jan 26 19:01:13 GMT 2024","131","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"failed","Fri Jan 26 19:01:10 GMT 2024","Fri Jan 26 19:01:10 GMT 2024","112","Test Cycle 1 - Registration","Test Case 42 - Too Long String Length","","","","Register User",""
"passed","Fri Jan 26 19:00:52 GMT 2024","Fri Jan 26 19:00:52 GMT 2024","208","Test Cycle 1 - Registration","Test Case 11 - Empty Usage Type","","","","Register User",""
"failed","Fri Jan 26 19:01:07 GMT 2024","Fri Jan 26 19:01:08 GMT 2024","1044","Test Cycle 1 - Registration","Test Case 38 - Request Without Last Name","","","","Register User",""
"failed","Fri Jan 26 19:01:08 GMT 2024","Fri Jan 26 19:01:09 GMT 2024","215","Test Cycle 1 - Registration","Test Case 40 - Request Without Email Address","","","","Register User",""
"failed","Fri Jan 26 19:01:05 GMT 2024","Fri Jan 26 19:01:05 GMT 2024","207","Test Cycle 1 - Registration","Test Case 35 - Request Without Username","","","","Register User",""
"passed","Fri Jan 26 19:00:52 GMT 2024","Fri Jan 26 19:00:52 GMT 2024","112","Test Cycle 1 - Registration","Test Case 10 - Empty Phone Number","","","","Register User",""
"passed","Fri Jan 26 19:00:52 GMT 2024","Fri Jan 26 19:00:52 GMT 2024","232","Test Cycle 1 - Registration","Test Case 12 - Too Short Username","","","","Register User",""
"passed","Fri Jan 26 19:01:03 GMT 2024","Fri Jan 26 19:01:04 GMT 2024","231","Test Cycle 1 - Registration","Test Case 29 - Too Long Phone Number","","","","Register User",""
"passed","Fri Jan 26 19:01:10 GMT 2024","Fri Jan 26 19:01:10 GMT 2024","213","Test Cycle 1 - Registration","Test Case 43 - No Numbers in Password","","","","Register User",""
"failed","Fri Jan 26 19:00:49 GMT 2024","Fri Jan 26 19:00:49 GMT 2024","219","Test Cycle 1 - Registration","Test Case 3 - Missing Username","","","","Register User",""
"passed","Fri Jan 26 19:00:57 GMT 2024","Fri Jan 26 19:00:58 GMT 2024","206","Test Cycle 1 - Registration","Test Case 21 - No Lowercase Password","","","","Register User",""
"passed","Fri Jan 26 19:00:49 GMT 2024","Fri Jan 26 19:00:49 GMT 2024","220","Test Cycle 1 - Registration","Test Case 6 - Empty Password","","","","Register User",""
"failed","Fri Jan 26 19:01:00 GMT 2024","Fri Jan 26 19:01:00 GMT 2024","226","Test Cycle 1 - Registration","Test Case 24 - Too Long First Name","","","","Register User",""
"failed","Fri Jan 26 19:01:05 GMT 2024","Fri Jan 26 19:01:06 GMT 2024","1095","Test Cycle 1 - Registration","Test Case 36 - Request Without Phone Number","","","","Register User",""
"failed","Fri Jan 26 19:01:04 GMT 2024","Fri Jan 26 19:01:05 GMT 2024","239","Test Cycle 1 - Registration","Test Case 33 - Existing Email","","","","Register User",""
"passed","Fri Jan 26 19:00:48 GMT 2024","Fri Jan 26 19:00:49 GMT 2024","294","Test Cycle 1 - Registration","Test Case 2 - Invalid Verification Token","","","","Verify",""
"failed","Fri Jan 26 19:01:08 GMT 2024","Fri Jan 26 19:01:08 GMT 2024","121","Test Cycle 1 - Registration","Test Case 39 - Request Without Password","","","","Register User",""
"failed","Fri Jan 26 19:00:53 GMT 2024","Fri Jan 26 19:00:54 GMT 2024","1077","Test Cycle 1 - Registration","Test Case 14 - Spec Char in Username","","","","Register User",""
"passed","Fri Jan 26 19:01:11 GMT 2024","Fri Jan 26 19:01:11 GMT 2024","115","Test Cycle 2 - Login","Test Case 6 - Invalid Username","","","","Login",""
"passed","Fri Jan 26 19:01:11 GMT 2024","Fri Jan 26 19:01:11 GMT 2024","325","Test Cycle 2 - Login","Test Case 7 - Invalid Password","","","","Login",""
"passed","Fri Jan 26 19:01:04 GMT 2024","Fri Jan 26 19:01:04 GMT 2024","219","Test Cycle 1 - Registration","Test Case 32 - Existing Username","","","","Register User",""
"failed","Fri Jan 26 19:01:06 GMT 2024","Fri Jan 26 19:01:07 GMT 2024","1022","Test Cycle 1 - Registration","Test Case 37 - Request Without First Name","","","","Register User",""
"passed","Fri Jan 26 19:01:04 GMT 2024","Fri Jan 26 19:01:04 GMT 2024","207","Test Cycle 1 - Registration","Test Case 31 - Non-numerical Phone Number","","","","Register User",""
"failed","Fri Jan 26 19:00:49 GMT 2024","Fri Jan 26 19:00:50 GMT 2024","211","Test Cycle 1 - Registration","Test Case 7 - Empty Email","","","","Register User",""
"failed","Fri Jan 26 19:00:50 GMT 2024","Fri Jan 26 19:00:51 GMT 2024","1084","Test Cycle 1 - Registration","Test Case 8 - Empty First Name","","","","Register User",""
"failed","Fri Jan 26 19:00:49 GMT 2024","Fri Jan 26 19:00:49 GMT 2024","216","Test Cycle 1 - Registration","Test Case 5 - Empty Username","","","","Register User",""
"failed","Fri Jan 26 19:00:54 GMT 2024","Fri Jan 26 19:00:54 GMT 2024","113","Test Cycle 1 - Registration","Test Case 15 - Only Whitespace Username","","","","Register User",""
"passed","Fri Jan 26 19:01:10 GMT 2024","Fri Jan 26 19:01:10 GMT 2024","324","Test Cycle 2 - Login","Test Case 1 - Valid Login Details","","","","Login",""
"failed","Fri Jan 26 19:01:09 GMT 2024","Fri Jan 26 19:01:10 GMT 2024","1066","Test Cycle 1 - Registration","Test Case 41 - Request Without Usage Type","","","","Register User",""
"passed","Fri Jan 26 19:00:57 GMT 2024","Fri Jan 26 19:00:57 GMT 2024","114","Test Cycle 1 - Registration","Test Case 19 - Too Short Password","","","","Register User",""
"passed","Fri Jan 26 19:01:11 GMT 2024","Fri Jan 26 19:01:11 GMT 2024","319","Test Cycle 2 - Login","Test Case 5 - Empty Password","","","","Login",""
"failed","Fri Jan 26 19:01:00 GMT 2024","Fri Jan 26 19:01:01 GMT 2024","1166","Test Cycle 1 - Registration","Test Case 25 - Only Whitespace First Name","","","","Register User",""
"failed","Fri Jan 26 19:00:55 GMT 2024","Fri Jan 26 19:00:56 GMT 2024","1017","Test Cycle 1 - Registration","Test Case 17 - Non-ascii Username","","","","Register User",""
"passed","Fri Jan 26 19:01:11 GMT 2024","Fri Jan 26 19:01:11 GMT 2024","115","Test Cycle 2 - Login","Test Case 4 - Empty Username","","","","Login",""
"passed","Fri Jan 26 19:01:10 GMT 2024","Fri Jan 26 19:01:11 GMT 2024","219","Test Cycle 2 - Login","Test Case 3 - Missing Password","","","","Login",""
"failed","Fri Jan 26 19:00:58 GMT 2024","Fri Jan 26 19:01:00 GMT 2024","2129","Test Cycle 1 - Registration","Test Case 23 - Invalid Email","","","","Register User",""
"failed","Fri Jan 26 19:01:05 GMT 2024","Fri Jan 26 19:01:05 GMT 2024","210","Test Cycle 1 - Registration","Test Case 34 - Existing Phone Number","","","","Register User",""
"passed","Fri Jan 26 19:01:10 GMT 2024","Fri Jan 26 19:01:10 GMT 2024","118","Test Cycle 2 - Login","Test Case 2 - Missing Username","","","","Login",""
"passed","Fri Jan 26 19:00:49 GMT 2024","Fri Jan 26 19:00:49 GMT 2024","222","Test Cycle 1 - Registration","Test Case 4 - Excess Data In Request Body","","","","Register User",""
"passed","Fri Jan 26 19:00:58 GMT 2024","Fri Jan 26 19:00:58 GMT 2024","208","Test Cycle 1 - Registration","Test Case 22 - No Uppercase Password","","","","Register User",""
"failed","Fri Jan 26 19:00:54 GMT 2024","Fri Jan 26 19:00:55 GMT 2024","1144","Test Cycle 1 - Registration","Test Case 16 - Whitespace in Username","","","","Register User",""
"failed","Fri Jan 26 19:00:56 GMT 2024","Fri Jan 26 19:00:57 GMT 2024","1111","Test Cycle 1 - Registration","Test Case 18 - Non-ascii Password","","","","Register User",""
"failed","Fri Jan 26 19:01:02 GMT 2024","Fri Jan 26 19:01:03 GMT 2024","1712","Test Cycle 1 - Registration","Test Case 27 - Only Whitespace Last Name","","","","Register User",""
"passed","Fri Jan 26 19:00:52 GMT 2024","Fri Jan 26 19:00:53 GMT 2024","206","Test Cycle 1 - Registration","Test Case 13 - Too Long Username","","","","Register User",""
"passed","Fri Jan 26 19:01:12 GMT 2024","Fri Jan 26 19:01:12 GMT 2024","130","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","User Profile",""
"failed","Fri Jan 26 19:00:51 GMT 2024","Fri Jan 26 19:00:52 GMT 2024","1103","Test Cycle 1 - Registration","Test Case 9 - Empty Last Name","","","","Register User",""
"failed","Fri Jan 26 19:00:57 GMT 2024","Fri Jan 26 19:00:57 GMT 2024","234","Test Cycle 1 - Registration","Test Case 20 - Too Long Password","","","","Register User",""
