"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 20:05:23 GMT 2024","Thu Jan 25 20:05:23 GMT 2024","145","Test Cycle 3 - Profile","TestCase_1_ValidLogin Copy","","","","User Profile",""
"failed","Thu Jan 25 20:05:24 GMT 2024","Thu Jan 25 20:05:24 GMT 2024","151","Test Cycle 4 - Logout","Test Case 1  - Login then Logout","","","","User Profile",""
"passed","Thu Jan 25 20:05:23 GMT 2024","Thu Jan 25 20:05:24 GMT 2024","155","Test Cycle 4 - Logout","Test Case 1  - Login then Logout","","","","User Profile",""
"passed","Thu Jan 25 20:05:22 GMT 2024","Thu Jan 25 20:05:22 GMT 2024","359","Test Cycle 2 - Login","TestCase_5_EmptyPassword Copy","","","","Login",""
"passed","Thu Jan 25 20:05:21 GMT 2024","Thu Jan 25 20:05:21 GMT 2024","138","Test Cycle 2 - Login","TestCase_2_MissingUsername Copy","","","","Login",""
"passed","Thu Jan 25 20:05:22 GMT 2024","Thu Jan 25 20:05:23 GMT 2024","374","Test Cycle 2 - Login","TestCase_7_InvalidPassword Copy","","","","Login",""
"failed","Thu Jan 25 20:05:19 GMT 2024","Thu Jan 25 20:05:21 GMT 2024","1681","Test Cycle 1 - Registration","TestCase_4_ExcessDataInRequestBody Copy","","","","Register User",""
"passed","Thu Jan 25 20:05:24 GMT 2024","Thu Jan 25 20:05:24 GMT 2024","135","Test Cycle 4 - Logout","Test Case 1  - Login then Logout","","","","Logout",""
"passed","Thu Jan 25 20:05:21 GMT 2024","Thu Jan 25 20:05:21 GMT 2024","245","Test Cycle 2 - Login","TestCase_1_ValidLoginDetails Copy","","","","Login",""
"passed","Thu Jan 25 20:05:21 GMT 2024","Thu Jan 25 20:05:22 GMT 2024","313","Test Cycle 2 - Login","TestCase_3_MissingPassword Copy","","","","Login",""
"passed","Thu Jan 25 20:05:19 GMT 2024","Thu Jan 25 20:05:19 GMT 2024","332","Test Cycle 1 - Registration","TestCase_2_InvalidVerificationToken Copy","","","","Verify",""
"failed","Thu Jan 25 20:05:19 GMT 2024","Thu Jan 25 20:05:19 GMT 2024","276","Test Cycle 1 - Registration","TestCase_3_MissingUsername Copy","","","","Register User",""
"passed","Thu Jan 25 20:05:22 GMT 2024","Thu Jan 25 20:05:22 GMT 2024","134","Test Cycle 2 - Login","TestCase_6_InvalidUsername Copy","","","","Login",""
"passed","Thu Jan 25 20:05:22 GMT 2024","Thu Jan 25 20:05:22 GMT 2024","140","Test Cycle 2 - Login","TestCase_4_EmptyUsername Copy","","","","Login",""
"passed","Thu Jan 25 20:05:23 GMT 2024","Thu Jan 25 20:05:23 GMT 2024","236","Test Cycle 3 - Profile","TestCase_1_ValidLogin Copy","","","","Login",""
"passed","Thu Jan 25 20:05:23 GMT 2024","Thu Jan 25 20:05:23 GMT 2024","329","Test Cycle 4 - Logout","Test Case 1  - Login then Logout","","","","Login",""
