"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 15:57:30 GMT 2024","Thu Jan 25 15:57:30 GMT 2024","287","TestCase_2_InvalidVerificationToken","","","","","Verify",""
"passed","Thu Jan 25 15:57:30 GMT 2024","Thu Jan 25 15:57:30 GMT 2024","218","TestCase_4_ExcessDataInRequestBody","","","","","Register User",""
"failed","Thu Jan 25 15:57:30 GMT 2024","Thu Jan 25 15:57:30 GMT 2024","230","TestCase_3_MissingUsername","","","","","Register User",""
