"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 25 22:20:13 GMT 2024","Thu Jan 25 22:20:14 GMT 2024","199","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Thu Jan 25 22:20:11 GMT 2024","Thu Jan 25 22:20:12 GMT 2024","493","Test Cycle 2 - Login","Test Case 7 - Invalid Password","","","","Login",""
"passed","Thu Jan 25 22:20:13 GMT 2024","Thu Jan 25 22:20:13 GMT 2024","297","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Login",""
"passed","Thu Jan 25 22:20:11 GMT 2024","Thu Jan 25 22:20:11 GMT 2024","457","Test Cycle 2 - Login","Test Case 5 - Empty Password","","","","Login",""
"passed","Thu Jan 25 22:20:10 GMT 2024","Thu Jan 25 22:20:10 GMT 2024","303","Test Cycle 2 - Login","Test Case 1 - Valid Login Details","","","","Login",""
"passed","Thu Jan 25 22:20:13 GMT 2024","Thu Jan 25 22:20:13 GMT 2024","191","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Logout",""
"passed","Thu Jan 25 22:20:12 GMT 2024","Thu Jan 25 22:20:13 GMT 2024","297","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","Login",""
"passed","Thu Jan 25 22:20:13 GMT 2024","Thu Jan 25 22:20:13 GMT 2024","204","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Thu Jan 25 22:20:11 GMT 2024","Thu Jan 25 22:20:11 GMT 2024","191","Test Cycle 2 - Login","Test Case 6 - Invalid Username","","","","Login",""
"passed","Thu Jan 25 22:20:13 GMT 2024","Thu Jan 25 22:20:13 GMT 2024","204","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","User Profile",""
"passed","Thu Jan 25 22:20:07 GMT 2024","Thu Jan 25 22:20:08 GMT 2024","449","Test Cycle 1 - Registration","TestCase_2_InvalidVerificationToken Copy","","","","Verify",""
"passed","Thu Jan 25 22:20:10 GMT 2024","Thu Jan 25 22:20:10 GMT 2024","194","Test Cycle 2 - Login","Test Case 2 - Missing Username","","","","Login",""
"passed","Thu Jan 25 22:20:08 GMT 2024","Thu Jan 25 22:20:10 GMT 2024","1427","Test Cycle 1 - Registration","TestCase_4_ExcessDataInRequestBody Copy","","","","Register User",""
"failed","Thu Jan 25 22:20:08 GMT 2024","Thu Jan 25 22:20:08 GMT 2024","372","Test Cycle 1 - Registration","TestCase_3_MissingUsername Copy","","","","Register User",""
"passed","Thu Jan 25 22:20:11 GMT 2024","Thu Jan 25 22:20:11 GMT 2024","200","Test Cycle 2 - Login","Test Case 4 - Empty Username","","","","Login",""
"passed","Thu Jan 25 22:20:10 GMT 2024","Thu Jan 25 22:20:11 GMT 2024","384","Test Cycle 2 - Login","Test Case 3 - Missing Password","","","","Login",""
"passed","Thu Jan 25 22:20:12 GMT 2024","Thu Jan 25 22:20:12 GMT 2024","293","Test Cycle 2 - Login","TestCase 8 - Excess Data in Request Body","","","","Login",""
