"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 26 00:32:41 GMT 2024","Fri Jan 26 00:32:41 GMT 2024","202","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Fri Jan 26 00:32:38 GMT 2024","Fri Jan 26 00:32:39 GMT 2024","448","Test Cycle 2 - Login","Test Case 5 - Empty Password","","","","Login",""
"passed","Fri Jan 26 00:32:39 GMT 2024","Fri Jan 26 00:32:39 GMT 2024","186","Test Cycle 2 - Login","Test Case 6 - Invalid Username","","","","Login",""
"passed","Fri Jan 26 00:32:41 GMT 2024","Fri Jan 26 00:32:41 GMT 2024","190","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Logout",""
"passed","Fri Jan 26 00:32:37 GMT 2024","Fri Jan 26 00:32:38 GMT 2024","290","Test Cycle 2 - Login","Test Case 1 - Valid Login Details","","","","Login",""
"passed","Fri Jan 26 00:32:39 GMT 2024","Fri Jan 26 00:32:40 GMT 2024","443","Test Cycle 2 - Login","Test Case 7 - Invalid Password","","","","Login",""
"passed","Fri Jan 26 00:32:40 GMT 2024","Fri Jan 26 00:32:41 GMT 2024","301","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Login",""
"passed","Fri Jan 26 00:32:41 GMT 2024","Fri Jan 26 00:32:41 GMT 2024","204","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Fri Jan 26 00:32:40 GMT 2024","Fri Jan 26 00:32:40 GMT 2024","191","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","User Profile",""
"passed","Fri Jan 26 00:32:38 GMT 2024","Fri Jan 26 00:32:38 GMT 2024","183","Test Cycle 2 - Login","Test Case 4 - Empty Username","","","","Login",""
"failed","Fri Jan 26 00:32:36 GMT 2024","Fri Jan 26 00:32:36 GMT 2024","362","Test Cycle 1 - Registration","TestCase_3_MissingUsername Copy","","","","Register User",""
"passed","Fri Jan 26 00:32:38 GMT 2024","Fri Jan 26 00:32:38 GMT 2024","355","Test Cycle 2 - Login","Test Case 3 - Missing Password","","","","Login",""
"passed","Fri Jan 26 00:32:36 GMT 2024","Fri Jan 26 00:32:37 GMT 2024","1221","Test Cycle 1 - Registration","TestCase_4_ExcessDataInRequestBody Copy","","","","Register User",""
"passed","Fri Jan 26 00:32:40 GMT 2024","Fri Jan 26 00:32:40 GMT 2024","282","Test Cycle 2 - Login","TestCase 8 - Excess Data in Request Body","","","","Login",""
"passed","Fri Jan 26 00:32:38 GMT 2024","Fri Jan 26 00:32:38 GMT 2024","192","Test Cycle 2 - Login","Test Case 2 - Missing Username","","","","Login",""
"passed","Fri Jan 26 00:32:40 GMT 2024","Fri Jan 26 00:32:40 GMT 2024","281","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","Login",""
"passed","Fri Jan 26 00:32:35 GMT 2024","Fri Jan 26 00:32:36 GMT 2024","451","Test Cycle 1 - Registration","TestCase_2_InvalidVerificationToken Copy","","","","Verify",""
