"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 07 02:34:03 GMT 2024","Wed Feb 07 02:34:04 GMT 2024","460","Test Cycle 3 - Profile","Test Case 22 - Changing Phone Number To Too Long","","","","User Profile",""
"failed","Wed Feb 07 02:34:09 GMT 2024","Wed Feb 07 02:34:09 GMT 2024","442","Test Cycle 4 - Logout","Test Case 01  - Logout After Login","","","","User Profile",""
"failed","Wed Feb 07 02:34:05 GMT 2024","Wed Feb 07 02:34:05 GMT 2024","464","Test Cycle 3 - Profile","Test Case 23 - Changing Phone Number With No Country Code","","","","User Profile",""
"passed","Wed Feb 07 02:34:13 GMT 2024","Wed Feb 07 02:34:16 GMT 2024","3273","Test Cycle 5 - Search and List Ads","Test Case 2 - All Available Ads as Visitor","","","","All Available Ads as Visitor",""
"failed","Wed Feb 07 02:33:08 GMT 2024","Wed Feb 07 02:33:09 GMT 2024","197","Test Cycle 1 - Registration","Test Case 17 - Non-ascii Username","","","","Register User",""
"failed","Wed Feb 07 02:35:40 GMT 2024","Wed Feb 07 02:35:40 GMT 2024","190","Test Cycle 7 - Editing Ads","Test Case 6 - Int Instead of Float","","","","Edit Ad",""
"failed","Wed Feb 07 02:33:09 GMT 2024","Wed Feb 07 02:33:10 GMT 2024","1565","Test Cycle 1 - Registration","Test Case 18 - Non-ascii Password","","","","Register User",""
"failed","Wed Feb 07 02:34:59 GMT 2024","Wed Feb 07 02:34:59 GMT 2024","436","Test Cycle 6 - Posting Ads","Test Case 7 - String over 256 Characters in Description","","","","New Ad",""
"failed","Wed Feb 07 02:33:59 GMT 2024","Wed Feb 07 02:34:00 GMT 2024","613","Test Cycle 3 - Profile","Test Case 19 - Changing Last Name To Too Long","","","","User Profile",""
"failed","Wed Feb 07 02:34:16 GMT 2024","Wed Feb 07 02:34:20 GMT 2024","3421","Test Cycle 5 - Search and List Ads","Test Case 3 - Pagination of All Ads","","","","Pagination",""
"failed","Wed Feb 07 02:33:26 GMT 2024","Wed Feb 07 02:33:26 GMT 2024","195","Test Cycle 1 - Registration","Test Case 43 - No Numbers in Password","","","","Register User",""
"passed","Wed Feb 07 02:33:28 GMT 2024","Wed Feb 07 02:33:28 GMT 2024","276","Test Cycle 2 - Login","Test Case 06 - Invalid Username","","","","Login",""
"failed","Wed Feb 07 02:33:55 GMT 2024","Wed Feb 07 02:33:56 GMT 2024","463","Test Cycle 3 - Profile","Test Case 16 - Changing Email To Invalid Format","","","","Change Email",""
"failed","Wed Feb 07 02:33:17 GMT 2024","Wed Feb 07 02:33:17 GMT 2024","367","Test Cycle 1 - Registration","Test Case 33 - Existing Email","","","","Register User",""
"failed","Wed Feb 07 02:35:23 GMT 2024","Wed Feb 07 02:35:23 GMT 2024","191","Test Cycle 7 - Editing Ads","Test Case 3 - Excess Data (API)","","","","Edit Ad",""
"failed","Wed Feb 07 02:33:39 GMT 2024","Wed Feb 07 02:33:39 GMT 2024","193","Test Cycle 3 - Profile","Test Case 07 - Changing Multiple Fields","","","","User Profile",""
"failed","Wed Feb 07 02:34:44 GMT 2024","Wed Feb 07 02:34:45 GMT 2024","459","Test Cycle 5 - Search and List Ads","Test Case 9 - View another user's inactive Ad","","","","View a certain ad",""
"failed","Wed Feb 07 02:34:25 GMT 2024","Wed Feb 07 02:34:25 GMT 2024","340","Test Cycle 5 - Search and List Ads","Test Case 5 - All Ads by Another User","","","","All Ads by Another User",""
"failed","Wed Feb 07 02:34:54 GMT 2024","Wed Feb 07 02:34:54 GMT 2024","439","Test Cycle 6 - Posting Ads","Test Case 2 - Missing Required Data (API)","","","","New Ad",""
"passed","Wed Feb 07 02:33:01 GMT 2024","Wed Feb 07 02:33:02 GMT 2024","563","Test Cycle 1 - Registration","Test Case 02 - Invalid Verification Token","","","","Verify",""
"passed","Wed Feb 07 02:33:05 GMT 2024","Wed Feb 07 02:33:06 GMT 2024","384","Test Cycle 1 - Registration","Test Case 12 - Too Short Username","","","","Register User",""
"failed","Wed Feb 07 02:33:47 GMT 2024","Wed Feb 07 02:33:47 GMT 2024","424","Test Cycle 3 - Profile","Test Case 11 - Changing Password To Too Short","","","","Login With Old Password",""
"failed","Wed Feb 07 02:33:04 GMT 2024","Wed Feb 07 02:33:04 GMT 2024","374","Test Cycle 1 - Registration","Test Case 09 - Empty Last Name","","","","Register User",""
"failed","Wed Feb 07 02:33:04 GMT 2024","Wed Feb 07 02:33:04 GMT 2024","371","Test Cycle 1 - Registration","Test Case 08 - Empty First Name","","","","Register User",""
"failed","Wed Feb 07 02:33:03 GMT 2024","Wed Feb 07 02:33:03 GMT 2024","391","Test Cycle 1 - Registration","Test Case 06 - Empty Password","","","","Register User",""
"failed","Wed Feb 07 02:33:14 GMT 2024","Wed Feb 07 02:33:15 GMT 2024","656","Test Cycle 1 - Registration","Test Case 26 - Too Long Last Name","","","","Register User",""
"failed","Wed Feb 07 02:35:17 GMT 2024","Wed Feb 07 02:35:18 GMT 2024","484","Test Cycle 7 - Editing Ads","Test Case 2 - Missing Required Data (API)","","","","Edit Ad",""
"passed","Wed Feb 07 02:33:26 GMT 2024","Wed Feb 07 02:33:27 GMT 2024","273","Test Cycle 2 - Login","Test Case 02 - Missing Username","","","","Login",""
"failed","Wed Feb 07 02:34:34 GMT 2024","Wed Feb 07 02:34:34 GMT 2024","274","Test Cycle 5 - Search and List Ads","Test Case 7 - View a Certain Ad as Visitor","","","","View a certain ad",""
"failed","Wed Feb 07 02:33:10 GMT 2024","Wed Feb 07 02:33:11 GMT 2024","379","Test Cycle 1 - Registration","Test Case 20 - Too Long Password","","","","Register User",""
"passed","Wed Feb 07 02:33:27 GMT 2024","Wed Feb 07 02:33:27 GMT 2024","514","Test Cycle 2 - Login","Test Case 03 - Missing Password","","","","Login",""
"failed","Wed Feb 07 02:33:48 GMT 2024","Wed Feb 07 02:33:49 GMT 2024","433","Test Cycle 3 - Profile","Test Case 12 - Changing Password To Too Long","","","","Login With Old Password",""
"failed","Wed Feb 07 02:33:13 GMT 2024","Wed Feb 07 02:33:14 GMT 2024","372","Test Cycle 1 - Registration","Test Case 25 - Only Whitespace First Name","","","","Register User",""
"failed","Wed Feb 07 02:33:15 GMT 2024","Wed Feb 07 02:33:15 GMT 2024","371","Test Cycle 1 - Registration","Test Case 27 - Only Whitespace Last Name","","","","Register User",""
"failed","Wed Feb 07 02:33:23 GMT 2024","Wed Feb 07 02:33:24 GMT 2024","298","Test Cycle 1 - Registration","Test Case 39 - Request Without Password","","","","Register User",""
