"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 15:05:23 GMT 2024","Thu Jan 25 15:05:23 GMT 2024","232","TestCase_4_ExcessDataInRequestBody","","","","","Register User",""
"passed","Thu Jan 25 15:05:22 GMT 2024","Thu Jan 25 15:05:22 GMT 2024","319","TestCase_2_InvalidVerificationToken","","","","","Verify",""
"failed","Thu Jan 25 15:05:22 GMT 2024","Thu Jan 25 15:05:23 GMT 2024","223","TestCase_3_MissingUsername","","","","","Register User",""
