"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 15:41:04 GMT 2024","Wed Feb 07 15:41:05 GMT 2024","275","Test Cycle 1 - Registration","Test Case 10 - Empty Phone Number","","","","Register User",""
"failed","Wed Feb 07 15:42:17 GMT 2024","Wed Feb 07 15:42:22 GMT 2024","4814","Test Cycle 5 - Search and List Ads","Test Case 04 - All Ads by User","","","","All Ads by User",""
"failed","Wed Feb 07 15:44:50 GMT 2024","Wed Feb 07 15:44:51 GMT 2024","219","Test Cycle 5 - Search and List Ads","Test Case 29 - Search Functionality: Heating","","","","Search Copy 2",""
"failed","Wed Feb 07 15:42:03 GMT 2024","Wed Feb 07 15:42:03 GMT 2024","406","Test Cycle 4 - Logout","Test Case 01  - Logout After Login","","","","User Profile",""
"passed","Wed Feb 07 15:47:20 GMT 2024","Wed Feb 07 15:47:20 GMT 2024","402","Test Cycle 7 - Editing Ads","Test Case 19 - Active Status to False","","","","Edit Ad",""
"passed","Wed Feb 07 15:41:16 GMT 2024","Wed Feb 07 15:41:17 GMT 2024","1531","Test Cycle 1 - Registration","Test Case 34 - Existing Phone Number","","","","Register User",""
"passed","Wed Feb 07 15:44:54 GMT 2024","Wed Feb 07 15:44:55 GMT 2024","718","Test Cycle 5 - Search and List Ads","Test Case 34 - Valid Search Request: Int over Intmax","","","","Search",""
"failed","Wed Feb 07 15:41:15 GMT 2024","Wed Feb 07 15:41:16 GMT 2024","272","Test Cycle 1 - Registration","Test Case 33 - Existing Email","","","","Register User",""
"failed","Wed Feb 07 15:41:03 GMT 2024","Wed Feb 07 15:41:03 GMT 2024","278","Test Cycle 1 - Registration","Test Case 05 - Empty Username","","","","Register User",""
"failed","Wed Feb 07 15:45:25 GMT 2024","Wed Feb 07 15:45:25 GMT 2024","417","Test Cycle 7 - Editing Ads","Test Case 02 - Missing Required Data (API)","","","","Edit Ad",""
"passed","Wed Feb 07 15:41:25 GMT 2024","Wed Feb 07 15:41:25 GMT 2024","527","Test Cycle 2 - Login","Test Case 05 - Empty Password","","","","Login",""
"failed","Wed Feb 07 15:41:04 GMT 2024","Wed Feb 07 15:41:04 GMT 2024","315","Test Cycle 1 - Registration","Test Case 08 - Empty First Name","","","","Register User",""
"passed","Wed Feb 07 15:45:01 GMT 2024","Wed Feb 07 15:45:02 GMT 2024","406","Test Cycle 6 - Posting Ads","Test Case 05 - Int Instead of Float","","","","New Ad",""
"failed","Wed Feb 07 15:41:22 GMT 2024","Wed Feb 07 15:41:23 GMT 2024","1380","Test Cycle 1 - Registration","Test Case 41 - Request Without Usage Type","","","","Register User",""
"failed","Wed Feb 07 15:44:55 GMT 2024","Wed Feb 07 15:44:55 GMT 2024","210","Test Cycle 5 - Search and List Ads","Test Case 36 - Invalid Search Request: Wrong input data in enum types","","","","Search",""
"passed","Wed Feb 07 15:41:23 GMT 2024","Wed Feb 07 15:41:24 GMT 2024","603","Test Cycle 2 - Login","Test Case 01 - Valid Login Details","","","","Login",""
"failed","Wed Feb 07 15:46:37 GMT 2024","Wed Feb 07 15:46:37 GMT 2024","145","Test Cycle 7 - Editing Ads","Test Case 11 - Wrong Input Type for Boolean (API)","","","","Edit Ad",""
"passed","Wed Feb 07 15:41:25 GMT 2024","Wed Feb 07 15:41:25 GMT 2024","228","Test Cycle 2 - Login","Test Case 04 - Empty Username","","","","Login",""
"failed","Wed Feb 07 15:41:50 GMT 2024","Wed Feb 07 15:41:51 GMT 2024","425","Test Cycle 3 - Profile","Test Case 16 - Changing Email To Invalid Format","","","","Change Email",""
"failed","Wed Feb 07 15:41:06 GMT 2024","Wed Feb 07 15:41:06 GMT 2024","285","Test Cycle 1 - Registration","Test Case 14 - Spec Char in Username","","","","Register User",""
"passed","Wed Feb 07 15:41:37 GMT 2024","Wed Feb 07 15:41:37 GMT 2024","397","Test Cycle 3 - Profile","Test Case 08 - Changing Email","","","","User Profile",""
"failed","Wed Feb 07 15:41:57 GMT 2024","Wed Feb 07 15:41:58 GMT 2024","427","Test Cycle 3 - Profile","Test Case 22 - Changing Phone Number To Too Long","","","","User Profile",""
"failed","Wed Feb 07 15:47:02 GMT 2024","Wed Feb 07 15:47:03 GMT 2024","429","Test Cycle 7 - Editing Ads","Test Case 16 - Editing Another User's Ad (API)","","","","Edit Ad",""
"failed","Wed Feb 07 15:42:35 GMT 2024","Wed Feb 07 15:42:35 GMT 2024","228","Test Cycle 5 - Search and List Ads","Test Case 07 - View a Certain Ad as Visitor","","","","View a certain ad",""
"failed","Wed Feb 07 15:41:59 GMT 2024","Wed Feb 07 15:41:59 GMT 2024","438","Test Cycle 3 - Profile","Test Case 23 - Changing Phone Number With No Country Code","","","","User Profile",""
"failed","Wed Feb 07 15:41:06 GMT 2024","Wed Feb 07 15:41:06 GMT 2024","286","Test Cycle 1 - Registration","Test Case 15 - Only Whitespace Username","","","","Register User",""
"passed","Wed Feb 07 15:42:04 GMT 2024","Wed Feb 07 15:42:08 GMT 2024","4103","Test Cycle 5 - Search and List Ads","Test Case 01 - All Available Ads as User","","","","All Available Ads as User",""
"passed","Wed Feb 07 15:44:53 GMT 2024","Wed Feb 07 15:44:54 GMT 2024","254","Test Cycle 5 - Search and List Ads","Test Case 32 - Pagination - Request Over Max Number of Pages","","","","Search",""
"failed","Wed Feb 07 15:41:03 GMT 2024","Wed Feb 07 15:41:04 GMT 2024","314","Test Cycle 1 - Registration","Test Case 06 - Empty Password","","","","Register User",""
"failed","Wed Feb 07 15:44:10 GMT 2024","Wed Feb 07 15:44:10 GMT 2024","221","Test Cycle 5 - Search and List Ads","Test Case 26 - Search Functionality: Advertisement Type","","","","Search Copy",""
"failed","Wed Feb 07 15:41:46 GMT 2024","Wed Feb 07 15:41:46 GMT 2024","388","Test Cycle 3 - Profile","Test Case 13 - Changing Password Without Numbers","","","","Login With Old Password",""
"failed","Wed Feb 07 15:41:35 GMT 2024","Wed Feb 07 15:41:35 GMT 2024","149","Test Cycle 3 - Profile","Test Case 07 - Changing Multiple Fields","","","","User Profile",""
"failed","Wed Feb 07 15:41:21 GMT 2024","Wed Feb 07 15:41:22 GMT 2024","254","Test Cycle 1 - Registration","Test Case 39 - Request Without Password","","","","Register User",""
"passed","Wed Feb 07 15:41:15 GMT 2024","Wed Feb 07 15:41:15 GMT 2024","280","Test Cycle 1 - Registration","Test Case 31 - Non-numerical Phone Number","","","","Register User",""
"failed","Wed Feb 07 15:45:06 GMT 2024","Wed Feb 07 15:45:06 GMT 2024","142","Test Cycle 6 - Posting Ads","Test Case 09 - Wrong Input Data in Enum Types (API)","","","","New Ad",""
"failed","Wed Feb 07 15:41:51 GMT 2024","Wed Feb 07 15:41:52 GMT 2024","425","Test Cycle 3 - Profile","Test Case 17 - Changing First Name To Too Long","","","","User Profile",""
"failed","Wed Feb 07 15:47:11 GMT 2024","Wed Feb 07 15:47:12 GMT 2024","248","Test Cycle 7 - Editing Ads","Test Case 18 - Editing an ad logged out","","","","Edit Ad",""
"failed","Wed Feb 07 15:41:20 GMT 2024","Wed Feb 07 15:41:21 GMT 2024","1260","Test Cycle 1 - Registration","Test Case 38 - Request Without Last Name","","","","Register User",""
"passed","Wed Feb 07 15:41:24 GMT 2024","Wed Feb 07 15:41:24 GMT 2024","229","Test Cycle 2 - Login","Test Case 02 - Missing Username","","","","Login",""
"failed","Wed Feb 07 15:41:42 GMT 2024","Wed Feb 07 15:41:42 GMT 2024","382","Test Cycle 3 - Profile","Test Case 11 - Changing Password To Too Short","","","","Login With Old Password",""
"failed","Wed Feb 07 15:41:06 GMT 2024","Wed Feb 07 15:41:08 GMT 2024","1887","Test Cycle 1 - Registration","Test Case 16 - Whitespace in Username","","","","Register User",""
"passed","Wed Feb 07 15:47:13 GMT 2024","Wed Feb 07 15:47:20 GMT 2024","6829","Test Cycle 7 - Editing Ads","Test Case 19 - Active Status to False","","","","All Ads By User",""
"passed","Wed Feb 07 15:41:27 GMT 2024","Wed Feb 07 15:41:27 GMT 2024","399","Test Cycle 3 - Profile","Test Case 01 - Accessing Profile","","","","User Profile",""
"failed","Wed Feb 07 15:41:04 GMT 2024","Wed Feb 07 15:41:04 GMT 2024","284","Test Cycle 1 - Registration","Test Case 09 - Empty Last Name","","","","Register User",""
"failed","Wed Feb 07 15:45:32 GMT 2024","Wed Feb 07 15:45:33 GMT 2024","424","Test Cycle 7 - Editing Ads","Test Case 03 - Excess Data (API)","","","","Edit Ad",""
"failed","Wed Feb 07 15:43:25 GMT 2024","Wed Feb 07 15:43:26 GMT 2024","717","Test Cycle 5 - Search and List Ads","Test Case 15 - Search Functionality: Maximum Floor Area","","","","Search",""
"failed","Wed Feb 07 15:41:29 GMT 2024","Wed Feb 07 15:41:29 GMT 2024","276","Test Cycle 3 - Profile","Test Case 02 - Deleting Profile","","","","User Profile",""
"failed","Wed Feb 07 15:41:56 GMT 2024","Wed Feb 07 15:41:57 GMT 2024","427","Test Cycle 3 - Profile","Test Case 21 - Changing Phone Number To Too Short","","","","User Profile",""
"failed","Wed Feb 07 15:41:08 GMT 2024","Wed Feb 07 15:41:08 GMT 2024","153","Test Cycle 1 - Registration","Test Case 17 - Non-ascii Username","","","","Register User",""
"passed","Wed Feb 07 15:43:09 GMT 2024","Wed Feb 07 15:43:10 GMT 2024","728","Test Cycle 5 - Search and List Ads","Test Case 11 - Search Functionality: Minimum Price","","","","Search",""
"failed","Wed Feb 07 15:47:37 GMT 2024","Wed Feb 07 15:47:37 GMT 2024","424","Test Cycle 7 - Editing Ads","Test Case 22 - Deleting Another User's Ad (API)","","","","New Ad",""
"passed","Wed Feb 07 15:41:14 GMT 2024","Wed Feb 07 15:41:14 GMT 2024","273","Test Cycle 1 - Registration","Test Case 28 - Too Short Phone Number","","","","Register User",""
"passed","Wed Feb 07 15:41:15 GMT 2024","Wed Feb 07 15:41:15 GMT 2024","404","Test Cycle 1 - Registration","Test Case 32 - Existing Username","","","","Register User",""
"failed","Wed Feb 07 15:43:24 GMT 2024","Wed Feb 07 15:43:24 GMT 2024","382","Test Cycle 5 - Search and List Ads","Test Case 13 - Search Functionality: Address","","","","Search",""
"failed","Wed Feb 07 15:44:37 GMT 2024","Wed Feb 07 15:44:37 GMT 2024","219","Test Cycle 5 - Search and List Ads","Test Case 28 - Search Functionality: Property Type","","","","Search Copy",""
"passed","Wed Feb 07 15:42:54 GMT 2024","Wed Feb 07 15:42:58 GMT 2024","4140","Test Cycle 5 - Search and List Ads","Test Case 10 - Search Function Sanity Test","","","","Search",""
"passed","Wed Feb 07 15:41:14 GMT 2024","Wed Feb 07 15:41:14 GMT 2024","272","Test Cycle 1 - Registration","Test Case 29 - Too Long Phone Number","","","","Register User",""
"failed","Wed Feb 07 15:41:19 GMT 2024","Wed Feb 07 15:41:20 GMT 2024","1313","Test Cycle 1 - Registration","Test Case 37 - Request Without First Name","","","","Register User",""
"passed","Wed Feb 07 15:41:26 GMT 2024","Wed Feb 07 15:41:26 GMT 2024","528","Test Cycle 2 - Login","Test Case 07 - Invalid Password","","","","Login",""
"passed","Wed Feb 07 15:41:05 GMT 2024","Wed Feb 07 15:41:05 GMT 2024","283","Test Cycle 1 - Registration","Test Case 11 - Empty Usage Type","","","","Register User",""
"failed","Wed Feb 07 15:46:53 GMT 2024","Wed Feb 07 15:46:54 GMT 2024","432","Test Cycle 7 - Editing Ads","Test Case 14 - Zero as Input into Field Requiring Positive Number","","","","Edit Ad",""
"failed","Wed Feb 07 15:41:49 GMT 2024","Wed Feb 07 15:41:49 GMT 2024","387","Test Cycle 3 - Profile","Test Case 15 - Changing Password Without Uppercase","","","","Login With Old Password",""
"failed","Wed Feb 07 15:45:40 GMT 2024","Wed Feb 07 15:45:41 GMT 2024","423","Test Cycle 7 - Editing Ads","Test Case 04 - Empty Required Data","","","","Edit Ad",""
"failed","Wed Feb 07 15:44:55 GMT 2024","Wed Feb 07 15:44:55 GMT 2024","231","Test Cycle 5 - Search and List Ads","Test Case 35 - Invalid Search Request: String over 256 character","","","","Search",""
"passed","Wed Feb 07 15:44:57 GMT 2024","Wed Feb 07 15:44:57 GMT 2024","397","Test Cycle 6 - Posting Ads","Test Case 01 - Posting an Ad","","","","New Ad",""
"failed","Wed Feb 07 15:46:45 GMT 2024","Wed Feb 07 15:46:45 GMT 2024","431","Test Cycle 7 - Editing Ads","Test Case 12 - Negative Number as Input","","","","Edit Ad",""
"passed","Wed Feb 07 15:45:02 GMT 2024","Wed Feb 07 15:45:03 GMT 2024","397","Test Cycle 6 - Posting Ads","Test Case 06 - Int Over Intmax","","","","New Ad",""
"failed","Wed Feb 07 15:45:09 GMT 2024","Wed Feb 07 15:45:10 GMT 2024","400","Test Cycle 6 - Posting Ads","Test Case 15 - Existing Address","","","","New Ad, Same Address",""
"passed","Wed Feb 07 15:44:52 GMT 2024","Wed Feb 07 15:44:52 GMT 2024","721","Test Cycle 5 - Search and List Ads","Test Case 30 - Pagination - Number of Page","","","","Search",""
"failed","Wed Feb 07 15:41:04 GMT 2024","Wed Feb 07 15:41:04 GMT 2024","289","Test Cycle 1 - Registration","Test Case 07 - Empty Email","","","","Register User",""
"passed","Wed Feb 07 15:45:17 GMT 2024","Wed Feb 07 15:45:17 GMT 2024","421","Test Cycle 7 - Editing Ads","Test Case 01 - Editing an Ad","","","","Edit Ad",""
"passed","Wed Feb 07 15:41:05 GMT 2024","Wed Feb 07 15:41:06 GMT 2024","280","Test Cycle 1 - Registration","Test Case 13 - Too Long Username","","","","Register User",""
"failed","Wed Feb 07 15:41:40 GMT 2024","Wed Feb 07 15:41:41 GMT 2024","403","Test Cycle 3 - Profile","Test Case 10 - Changing Password Logged Out","","","","Login With New Passord",""
"failed","Wed Feb 07 15:42:42 GMT 2024","Wed Feb 07 15:42:42 GMT 2024","229","Test Cycle 5 - Search and List Ads","Test Case 08 - View a Non-existing Ad","","","","View a certain ad",""
"failed","Wed Feb 07 15:41:23 GMT 2024","Wed Feb 07 15:41:23 GMT 2024","145","Test Cycle 1 - Registration","Test Case 43 - No Numbers in Password","","","","Register User",""
"failed","Wed Feb 07 15:41:54 GMT 2024","Wed Feb 07 15:41:54 GMT 2024","425","Test Cycle 3 - Profile","Test Case 19 - Changing Last Name To Too Long","","","","User Profile",""
"failed","Wed Feb 07 15:43:24 GMT 2024","Wed Feb 07 15:43:25 GMT 2024","721","Test Cycle 5 - Search and List Ads","Test Case 14 - Search Functionality: Minimum Floor Area","","","","Search",""
"passed","Wed Feb 07 15:44:54 GMT 2024","Wed Feb 07 15:44:54 GMT 2024","718","Test Cycle 5 - Search and List Ads","Test Case 33 - Search Functionality: Int Instead of Float","","","","Search",""
"passed","Wed Feb 07 15:42:29 GMT 2024","Wed Feb 07 15:42:29 GMT 2024","418","Test Cycle 5 - Search and List Ads","Test Case 06 - View a Certain Ad","","","","View a certain ad",""
"failed","Wed Feb 07 15:41:12 GMT 2024","Wed Feb 07 15:41:13 GMT 2024","416","Test Cycle 1 - Registration","Test Case 24 - Too Long First Name","","","","Register User",""
"passed","Wed Feb 07 15:41:05 GMT 2024","Wed Feb 07 15:41:05 GMT 2024","274","Test Cycle 1 - Registration","Test Case 12 - Too Short Username","","","","Register User",""
"failed","Wed Feb 07 15:41:17 GMT 2024","Wed Feb 07 15:41:19 GMT 2024","1499","Test Cycle 1 - Registration","Test Case 36 - Request Without Phone Number","","","","Register User",""
"passed","Wed Feb 07 15:47:29 GMT 2024","Wed Feb 07 15:47:29 GMT 2024","429","Test Cycle 7 - Editing Ads","Test Case 21 - Deleting an Ad","","","","New Ad",""
"failed","Wed Feb 07 15:45:08 GMT 2024","Wed Feb 07 15:45:08 GMT 2024","227","Test Cycle 6 - Posting Ads","Test Case 14 - Posting Logged Out","","","","New Ad",""
"failed","Wed Feb 07 15:41:11 GMT 2024","Wed Feb 07 15:41:12 GMT 2024","1511","Test Cycle 1 - Registration","Test Case 23 - Invalid Email","","","","Register User",""
"failed","Wed Feb 07 15:45:06 GMT 2024","Wed Feb 07 15:45:06 GMT 2024","141","Test Cycle 6 - Posting Ads","Test Case 10 - Wrong Input Type for Boolean (API)","","","","New Ad",""
"failed","Wed Feb 07 15:41:10 GMT 2024","Wed Feb 07 15:41:10 GMT 2024","272","Test Cycle 1 - Registration","Test Case 21 - No Lowercase Password","","","","Register User",""
"failed","Wed Feb 07 15:43:28 GMT 2024","Wed Feb 07 15:43:29 GMT 2024","725","Test Cycle 5 - Search and List Ads","Test Case 20 - Search Functionality: Minimum Floor","","","","Search",""
"failed","Wed Feb 07 15:43:28 GMT 2024","Wed Feb 07 15:43:28 GMT 2024","719","Test Cycle 5 - Search and List Ads","Test Case 19 - Search Functionality: Maximum Date of Construction","","","","Search",""
"failed","Wed Feb 07 15:41:17 GMT 2024","Wed Feb 07 15:41:17 GMT 2024","143","Test Cycle 1 - Registration","Test Case 35 - Request Without Username","","","","Register User",""
"passed","Wed Feb 07 15:44:52 GMT 2024","Wed Feb 07 15:44:53 GMT 2024","929","Test Cycle 5 - Search and List Ads","Test Case 31 - Pagination - Items per Page","","","","Search",""
"passed","Wed Feb 07 15:46:04 GMT 2024","Wed Feb 07 15:46:05 GMT 2024","422","Test Cycle 7 - Editing Ads","Test Case 07 - Int over Intmax","","","","Edit Ad",""
"failed","Wed Feb 07 15:43:26 GMT 2024","Wed Feb 07 15:43:27 GMT 2024","725","Test Cycle 5 - Search and List Ads","Test Case 17 - Search Functionality: Maximum Number of Rooms","","","","Search",""
"failed","Wed Feb 07 15:41:13 GMT 2024","Wed Feb 07 15:41:13 GMT 2024","303","Test Cycle 1 - Registration","Test Case 25 - Only Whitespace First Name","","","","Register User",""
