"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 20:12:15 GMT 2024","Thu Jan 25 20:12:17 GMT 2024","1451","Test Cycle 1 - Registration","TestCase_4_ExcessDataInRequestBody Copy","","","","Register User",""
"passed","Thu Jan 25 20:12:19 GMT 2024","Thu Jan 25 20:12:19 GMT 2024","245","Test Cycle 4 - Logout","Test Case 1  - Login then Logout","","","","Login",""
"passed","Thu Jan 25 20:12:19 GMT 2024","Thu Jan 25 20:12:19 GMT 2024","137","Test Cycle 4 - Logout","Test Case 1  - Login then Logout","","","","Logout",""
"passed","Thu Jan 25 20:12:19 GMT 2024","Thu Jan 25 20:12:19 GMT 2024","140","Test Cycle 3 - Profile","TestCase_1_ValidLogin Copy","","","","User Profile",""
"passed","Thu Jan 25 20:12:18 GMT 2024","Thu Jan 25 20:12:18 GMT 2024","137","Test Cycle 2 - Login","TestCase_6_InvalidUsername Copy","","","","Login",""
"failed","Thu Jan 25 20:12:19 GMT 2024","Thu Jan 25 20:12:20 GMT 2024","152","Test Cycle 4 - Logout","Test Case 1  - Login then Logout","","","","User Profile",""
"passed","Thu Jan 25 20:12:17 GMT 2024","Thu Jan 25 20:12:17 GMT 2024","245","Test Cycle 2 - Login","TestCase_1_ValidLoginDetails Copy","","","","Login",""
"passed","Thu Jan 25 20:12:19 GMT 2024","Thu Jan 25 20:12:19 GMT 2024","147","Test Cycle 4 - Logout","Test Case 1  - Login then Logout","","","","User Profile",""
"passed","Thu Jan 25 20:12:18 GMT 2024","Thu Jan 25 20:12:18 GMT 2024","381","Test Cycle 2 - Login","TestCase_5_EmptyPassword Copy","","","","Login",""
"passed","Thu Jan 25 20:12:17 GMT 2024","Thu Jan 25 20:12:17 GMT 2024","138","Test Cycle 2 - Login","TestCase_2_MissingUsername Copy","","","","Login",""
"failed","Thu Jan 25 20:12:15 GMT 2024","Thu Jan 25 20:12:15 GMT 2024","252","Test Cycle 1 - Registration","TestCase_3_MissingUsername Copy","","","","Register User",""
"passed","Thu Jan 25 20:12:15 GMT 2024","Thu Jan 25 20:12:15 GMT 2024","346","Test Cycle 1 - Registration","TestCase_2_InvalidVerificationToken Copy","","","","Verify",""
"passed","Thu Jan 25 20:12:17 GMT 2024","Thu Jan 25 20:12:17 GMT 2024","301","Test Cycle 2 - Login","TestCase_3_MissingPassword Copy","","","","Login",""
"passed","Thu Jan 25 20:12:17 GMT 2024","Thu Jan 25 20:12:18 GMT 2024","136","Test Cycle 2 - Login","TestCase_4_EmptyUsername Copy","","","","Login",""
"passed","Thu Jan 25 20:12:18 GMT 2024","Thu Jan 25 20:12:18 GMT 2024","346","Test Cycle 2 - Login","TestCase_7_InvalidPassword Copy","","","","Login",""
"passed","Thu Jan 25 20:12:18 GMT 2024","Thu Jan 25 20:12:19 GMT 2024","241","Test Cycle 3 - Profile","TestCase_1_ValidLogin Copy","","","","Login",""
