"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 00:38:24 GMT 2024","Fri Jan 26 00:38:24 GMT 2024","120","Test Cycle 2 - Login","Test Case 2 - Missing Username","","","","Login",""
"passed","Fri Jan 26 00:38:24 GMT 2024","Fri Jan 26 00:38:24 GMT 2024","116","Test Cycle 2 - Login","Test Case 4 - Empty Username","","","","Login",""
"passed","Fri Jan 26 00:38:24 GMT 2024","Fri Jan 26 00:38:24 GMT 2024","219","Test Cycle 2 - Login","Test Case 3 - Missing Password","","","","Login",""
"passed","Fri Jan 26 00:38:24 GMT 2024","Fri Jan 26 00:38:24 GMT 2024","232","Test Cycle 2 - Login","Test Case 1 - Valid Login Details","","","","Login",""
"failed","Fri Jan 26 00:38:26 GMT 2024","Fri Jan 26 00:38:26 GMT 2024","133","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Fri Jan 26 00:38:25 GMT 2024","Fri Jan 26 00:38:25 GMT 2024","224","Test Cycle 2 - Login","TestCase 8 - Excess Data in Request Body","","","","Login",""
"passed","Fri Jan 26 00:38:22 GMT 2024","Fri Jan 26 00:38:24 GMT 2024","1119","Test Cycle 1 - Registration","TestCase_4_ExcessDataInRequestBody Copy","","","","Register User",""
"failed","Fri Jan 26 00:38:22 GMT 2024","Fri Jan 26 00:38:22 GMT 2024","215","Test Cycle 1 - Registration","TestCase_3_MissingUsername Copy","","","","Register User",""
"passed","Fri Jan 26 00:38:26 GMT 2024","Fri Jan 26 00:38:26 GMT 2024","129","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Fri Jan 26 00:38:25 GMT 2024","Fri Jan 26 00:38:25 GMT 2024","333","Test Cycle 2 - Login","Test Case 7 - Invalid Password","","","","Login",""
"passed","Fri Jan 26 00:38:22 GMT 2024","Fri Jan 26 00:38:22 GMT 2024","289","Test Cycle 1 - Registration","TestCase_2_InvalidVerificationToken Copy","","","","Verify",""
"passed","Fri Jan 26 00:38:24 GMT 2024","Fri Jan 26 00:38:25 GMT 2024","317","Test Cycle 2 - Login","Test Case 5 - Empty Password","","","","Login",""
"passed","Fri Jan 26 00:38:25 GMT 2024","Fri Jan 26 00:38:26 GMT 2024","128","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","User Profile",""
"passed","Fri Jan 26 00:38:25 GMT 2024","Fri Jan 26 00:38:25 GMT 2024","218","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","Login",""
"passed","Fri Jan 26 00:38:25 GMT 2024","Fri Jan 26 00:38:25 GMT 2024","116","Test Cycle 2 - Login","Test Case 6 - Invalid Username","","","","Login",""
"passed","Fri Jan 26 00:38:26 GMT 2024","Fri Jan 26 00:38:26 GMT 2024","126","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Logout",""
"passed","Fri Jan 26 00:38:26 GMT 2024","Fri Jan 26 00:38:26 GMT 2024","224","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Login",""
