"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 08 17:07:09 GMT 2024","Thu Feb 08 17:07:10 GMT 2024","439","Test Cycle 6 - Posting Ads","Test Case 02 - Missing Required Data (API)","","","","New Ad",""
"passed","Thu Feb 08 17:02:27 GMT 2024","Thu Feb 08 17:02:27 GMT 2024","475","Test Cycle 1 - Registration","Test Case 32 - Existing Username","","","","Register User",""
"passed","Thu Feb 08 17:07:03 GMT 2024","Thu Feb 08 17:07:04 GMT 2024","978","Test Cycle 5 - Search and List Ads","Test Case 31 - Pagination - Items per Page","","","","Search",""
"passed","Thu Feb 08 17:02:51 GMT 2024","Thu Feb 08 17:02:51 GMT 2024","440","Test Cycle 3 - Profile","Test Case 08 - Changing Email","","","","User Profile",""
"failed","Thu Feb 08 17:07:11 GMT 2024","Thu Feb 08 17:07:11 GMT 2024","181","Test Cycle 6 - Posting Ads","Test Case 04 - Invalid Input Data Type","","","","New Ad",""
"failed","Thu Feb 08 17:02:24 GMT 2024","Thu Feb 08 17:02:24 GMT 2024","336","Test Cycle 1 - Registration","Test Case 25 - Only Whitespace First Name","","","","Register User",""
"passed","Thu Feb 08 17:10:10 GMT 2024","Thu Feb 08 17:10:11 GMT 2024","468","Test Cycle 7 - Editing Ads","Test Case 19 - Active Status to False","","","","Edit Ad",""
"failed","Thu Feb 08 17:10:32 GMT 2024","Thu Feb 08 17:10:33 GMT 2024","461","Test Cycle 7 - Editing Ads","Test Case 22 - Deleting Another User's Ad (API)","","","","New Ad",""
"failed","Thu Feb 08 17:07:51 GMT 2024","Thu Feb 08 17:07:52 GMT 2024","496","Test Cycle 7 - Editing Ads","Test Case 03 - Excess Data (API)","","","","Edit Ad",""
"failed","Thu Feb 08 17:03:02 GMT 2024","Thu Feb 08 17:03:03 GMT 2024","447","Test Cycle 3 - Profile","Test Case 14 - Changing Password Without Lowercase","","","","Login With Old Password",""
"failed","Thu Feb 08 17:03:15 GMT 2024","Thu Feb 08 17:03:15 GMT 2024","465","Test Cycle 3 - Profile","Test Case 23 - Changing Phone Number With No Country Code","","","","User Profile",""
"passed","Thu Feb 08 17:02:11 GMT 2024","Thu Feb 08 17:02:11 GMT 2024","608","Test Cycle 1 - Registration","Test Case 02 - Invalid Verification Token","","","","Verify",""
"failed","Thu Feb 08 17:03:19 GMT 2024","Thu Feb 08 17:03:19 GMT 2024","437","Test Cycle 4 - Logout","Test Case 01  - Logout After Login","","","","User Profile",""
"failed","Thu Feb 08 17:02:22 GMT 2024","Thu Feb 08 17:02:22 GMT 2024","349","Test Cycle 1 - Registration","Test Case 22 - No Uppercase Password","","","","Register User",""
"failed","Thu Feb 08 17:07:06 GMT 2024","Thu Feb 08 17:07:06 GMT 2024","273","Test Cycle 5 - Search and List Ads","Test Case 35 - Invalid Search Request: String over 256 character","","","","Search",""
"failed","Thu Feb 08 17:05:09 GMT 2024","Thu Feb 08 17:05:09 GMT 2024","768","Test Cycle 5 - Search and List Ads","Test Case 17 - Search Functionality: Maximum Number of Rooms","","","","Search",""
"failed","Thu Feb 08 17:07:18 GMT 2024","Thu Feb 08 17:07:18 GMT 2024","177","Test Cycle 6 - Posting Ads","Test Case 10 - Wrong Input Type for Boolean (API)","","","","New Ad",""
"failed","Thu Feb 08 17:06:06 GMT 2024","Thu Feb 08 17:06:07 GMT 2024","279","Test Cycle 5 - Search and List Ads","Test Case 26 - Search Functionality: Advertisement Type","","","","Search Copy",""
"failed","Thu Feb 08 17:07:16 GMT 2024","Thu Feb 08 17:07:16 GMT 2024","440","Test Cycle 6 - Posting Ads","Test Case 08 - String over 256 Characters in a Non-description Field","","","","New Ad",""
"failed","Thu Feb 08 17:03:10 GMT 2024","Thu Feb 08 17:03:10 GMT 2024","461","Test Cycle 3 - Profile","Test Case 19 - Changing Last Name To Too Long","","","","User Profile",""
"failed","Thu Feb 08 17:02:24 GMT 2024","Thu Feb 08 17:02:24 GMT 2024","465","Test Cycle 1 - Registration","Test Case 24 - Too Long First Name","","","","Register User",""
"failed","Thu Feb 08 17:05:11 GMT 2024","Thu Feb 08 17:05:12 GMT 2024","776","Test Cycle 5 - Search and List Ads","Test Case 20 - Search Functionality: Minimum Floor","","","","Search",""
"failed","Thu Feb 08 17:02:13 GMT 2024","Thu Feb 08 17:02:13 GMT 2024","382","Test Cycle 1 - Registration","Test Case 07 - Empty Email","","","","Register User",""
"passed","Thu Feb 08 17:02:37 GMT 2024","Thu Feb 08 17:02:37 GMT 2024","265","Test Cycle 2 - Login","Test Case 02 - Missing Username","","","","Login",""
"failed","Thu Feb 08 17:02:12 GMT 2024","Thu Feb 08 17:02:12 GMT 2024","348","Test Cycle 1 - Registration","Test Case 05 - Empty Username","","","","Register User",""
"failed","Thu Feb 08 17:07:41 GMT 2024","Thu Feb 08 17:07:42 GMT 2024","536","Test Cycle 7 - Editing Ads","Test Case 02 - Missing Required Data (API)","","","","Edit Ad",""
"failed","Thu Feb 08 17:05:08 GMT 2024","Thu Feb 08 17:05:09 GMT 2024","767","Test Cycle 5 - Search and List Ads","Test Case 16 - Search Functionality: Minimum Number of Rooms","","","","Search",""
"failed","Thu Feb 08 17:05:12 GMT 2024","Thu Feb 08 17:05:12 GMT 2024","767","Test Cycle 5 - Search and List Ads","Test Case 21 - Search Functionality: Maximum Floor","","","","Search",""
