"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 06 11:28:52 GMT 2024","Tue Feb 06 11:28:53 GMT 2024","393","Test Cycle 1 - Registration","Test Case 15 - Only Whitespace Username","","","","Register User",""
"failed","Tue Feb 06 11:28:52 GMT 2024","Tue Feb 06 11:28:52 GMT 2024","392","Test Cycle 1 - Registration","Test Case 14 - Spec Char in Username","","","","Register User",""
"failed","Tue Feb 06 11:29:00 GMT 2024","Tue Feb 06 11:29:01 GMT 2024","674","Test Cycle 1 - Registration","Test Case 26 - Too Long Last Name","","","","Register User",""
"failed","Tue Feb 06 11:29:06 GMT 2024","Tue Feb 06 11:29:08 GMT 2024","1556","Test Cycle 1 - Registration","Test Case 36 - Request Without Phone Number","","","","Register User",""
"failed","Tue Feb 06 11:28:55 GMT 2024","Tue Feb 06 11:28:56 GMT 2024","1527","Test Cycle 1 - Registration","Test Case 18 - Non-ascii Password","","","","Register User",""
"passed","Tue Feb 06 11:30:16 GMT 2024","Tue Feb 06 11:30:16 GMT 2024","330","Test Cycle 6 - Posting Ads","Test Case 1 - Posting an Ad","","","","New Ad",""
"failed","Tue Feb 06 11:29:51 GMT 2024","Tue Feb 06 11:29:52 GMT 2024","485","Test Cycle 3 - Profile","Test Case 22 - Changing Phone Number To Too Long","","","","User Profile",""
"failed","Tue Feb 06 11:28:59 GMT 2024","Tue Feb 06 11:29:00 GMT 2024","669","Test Cycle 1 - Registration","Test Case 24 - Too Long First Name","","","","Register User",""
"failed","Tue Feb 06 11:29:19 GMT 2024","Tue Feb 06 11:29:19 GMT 2024","367","Test Cycle 3 - Profile","Test Case 02 - Deleting Profile","","","","User Profile",""
"failed","Tue Feb 06 11:29:32 GMT 2024","Tue Feb 06 11:29:32 GMT 2024","440","Test Cycle 3 - Profile","Test Case 10 - Changing Password Logged Out","","","","Login With New Passord",""
"failed","Tue Feb 06 11:30:27 GMT 2024","Tue Feb 06 11:30:27 GMT 2024","308","Test Cycle 6 - Posting Ads","Test Case 14 - Posting Logged Out","","","","New Ad",""
"failed","Tue Feb 06 11:30:08 GMT 2024","Tue Feb 06 11:30:08 GMT 2024","306","Test Cycle 5 - Search and List Ads","Test Case 6 - View a Certain Ad","","","","View a certain ad",""
"failed","Tue Feb 06 11:30:25 GMT 2024","Tue Feb 06 11:30:25 GMT 2024","304","Test Cycle 6 - Posting Ads","Test Case 11 - Negative Number as Input","","","","New Ad",""
"failed","Tue Feb 06 11:28:50 GMT 2024","Tue Feb 06 11:28:50 GMT 2024","402","Test Cycle 1 - Registration","Test Case 09 - Empty Last Name","","","","Register User",""
