"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 10:17:27 GMT 2024","Fri Jan 26 10:17:27 GMT 2024","214","Test Cycle 2 - Login","Test Case 3 - Missing Password","","","","Login",""
"passed","Fri Jan 26 10:17:28 GMT 2024","Fri Jan 26 10:17:28 GMT 2024","312","Test Cycle 2 - Login","Test Case 7 - Invalid Password","","","","Login",""
"failed","Fri Jan 26 10:17:25 GMT 2024","Fri Jan 26 10:17:25 GMT 2024","209","Test Cycle 1 - Registration","TestCase_3_MissingUsername Copy","","","","Register User",""
"passed","Fri Jan 26 10:17:28 GMT 2024","Fri Jan 26 10:17:28 GMT 2024","211","Test Cycle 2 - Login","TestCase 8 - Excess Data in Request Body","","","","Login",""
"passed","Fri Jan 26 10:17:27 GMT 2024","Fri Jan 26 10:17:27 GMT 2024","113","Test Cycle 2 - Login","Test Case 4 - Empty Username","","","","Login",""
"failed","Fri Jan 26 10:17:29 GMT 2024","Fri Jan 26 10:17:29 GMT 2024","129","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Fri Jan 26 10:17:27 GMT 2024","Fri Jan 26 10:17:27 GMT 2024","234","Test Cycle 2 - Login","Test Case 1 - Valid Login Details","","","","Login",""
"passed","Fri Jan 26 10:17:27 GMT 2024","Fri Jan 26 10:17:27 GMT 2024","118","Test Cycle 2 - Login","Test Case 2 - Missing Username","","","","Login",""
"passed","Fri Jan 26 10:17:27 GMT 2024","Fri Jan 26 10:17:28 GMT 2024","307","Test Cycle 2 - Login","Test Case 5 - Empty Password","","","","Login",""
"passed","Fri Jan 26 10:17:24 GMT 2024","Fri Jan 26 10:17:25 GMT 2024","291","Test Cycle 1 - Registration","TestCase_2_InvalidVerificationToken Copy","","","","Verify",""
"passed","Fri Jan 26 10:17:28 GMT 2024","Fri Jan 26 10:17:28 GMT 2024","114","Test Cycle 2 - Login","Test Case 6 - Invalid Username","","","","Login",""
"passed","Fri Jan 26 10:17:25 GMT 2024","Fri Jan 26 10:17:27 GMT 2024","1679","Test Cycle 1 - Registration","TestCase_4_ExcessDataInRequestBody Copy","","","","Register User",""
"passed","Fri Jan 26 10:17:28 GMT 2024","Fri Jan 26 10:17:28 GMT 2024","121","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","User Profile",""
